"google_dir","layer_top","layer_bot","layer_mid","time_series","layers","var_n","avg","min","max"
"BNZ3",32,28,NA,"NO","NO",1,37.9,37.9,37.9
"BNZ3",32,29,NA,"NO","NO",2,33.3,20,46.6
"BNZ3",33,8,NA,"NO","NO",1,47.7,47.7,47.7
"BNZ3",33,30,NA,"NO","NO",1,36.1,36.1,36.1
"BNZ3",33.5,30.5,NA,"NO","NO",1,42.5,42.5,42.5
"BNZ3",34,8,NA,"NO","NO",1,26.8,26.8,26.8
"BNZ3",34.5,21,NA,"NO","NO",1,24.1,24.1,24.1
"BNZ3",35.5,30,NA,"NO","NO",1,24.1,24.1,24.1
"BNZ3",36,23,NA,"NO","NO",1,44,44,44
"BNZ3",37,32,NA,"NO","NO",1,26.7,26.7,26.7
"BNZ3",37.5,36,NA,"NO","NO",1,39.1,39.1,39.1
"BNZ3",38,3,NA,"NO","NO",1,45.6,45.6,45.6
"BNZ3",39,5,NA,"NO","NO",1,39.3,39.3,39.3
"BNZ3",40,0,NA,"NO","NO",1,39.5,39.5,39.5
"BNZ3",40,4,NA,"NO","NO",1,45.4,45.4,45.4
"BNZ3",40,33,NA,"NO","NO",1,41,41,41
"BNZ3",41,25,NA,"NO","NO",1,50,50,50
"BNZ3",42,7,NA,"NO","NO",1,40.8,40.8,40.8
"BNZ4",0,5,NA,"YES","NO",27,431.6,409,464
"BNZ4",5,15,NA,"YES","NO",35,404.8,359,440
"BNZ4",15,25,NA,"YES","NO",40,361.1,143,431
"BNZ4",25,35,NA,"YES","NO",46,190.9,29,444
"BNZ4",35,45,NA,"YES","NO",42,122.9,26,351
"BNZ4",45,55,NA,"YES","NO",40,153.5,25,363
"BNZ4",55,65,NA,"YES","NO",33,170,30,382
"BNZ4",65,75,NA,"YES","NO",23,146.2,15,325
